학력선택,학부선택,전공선택,수업방식,전공과목 비용,교양과목 비용,일반과목 비용,전공과목 할인률,비고
4년제,가정학사,식품조리학,오프라인 수업,350000,150000,150000,,비고
4년제,가정학사,의상학,전공폐지,150000,150000,150000,,비고
4년제,간호학사,간호학,전공연계 과정,450000,150000,150000,,비고
4년제,경영학사,e-비즈니스학,학습 컨설팅 필수,150000,150000,150000,20%,비고
4년제,경영학사,경영학,100%온라인 수업,150000,150000,150000,40%,비고
4년제,경영학사,회계학,100%온라인 수업,150000,150000,150000,40%,비고
4년제,경제학사,경제학,100%온라인 수업,150000,150000,150000,40%,비고
4년제,공학사,건축공학,오프라인 수업(온라인 전환가능),350000,150000,150000,,비고
4년제,공학사,건축설비학,오프라인 수업(온라인 전환가능),350000,150000,150000,,비고
4년제,공학사,게임프로그래밍학,오프라인 수업(온라인 전환불가),300000,150000,150000,,비고
4년제,공학사,교통공학,오프라인 수업(온라인 전환가능),280000,150000,150000,,비고
4년제,공학사,금속공학,오프라인 수업(온라인 전환가능),280000,150000,150000,,비고
4년제,공학사,기계공학,오프라인 수업(온라인 전환가능),300000,150000,150000,,비고
4년제,공학사,기계설계공학,오프라인 수업(온라인 전환가능),300000,150000,150000,,비고
4년제,공학사,기관공학,오프라인 수업(온라인 전환불가),280000,150000,150000,,비고
4년제,공학사,매체공학,오프라인 수업(온라인 전환불가),280000,150000,150000,,비고
4년제,공학사,멀티미디어학,학습 컨설팅 필수,280000,150000,150000,,비고
4년제,공학사,메카트로닉스학,학습 컨설팅 필수,280000,150000,150000,,비고
4년제,공학사,산업공학,오프라인 수업(온라인 전환가능),300000,150000,150000,,비고
4년제,공학사,섬유공학,오프라인 수업(온라인 전환불가),300000,150000,150000,,비고
4년제,공학사,소방학,100%온라인 수업,210000,150000,150000,,비고
4년제,공학사,안전공학,오프라인 수업(온라인 전환가능),280000,150000,150000,,비고
4년제,공학사,음향공학,오프라인 수업(온라인 전환불가),280000,150000,150000,,비고
4년제,공학사,자동차공학,오프라인 수업(온라인 전환불가),280000,150000,150000,,비고
4년제,공학사,전기공학,100%온라인 수업,210000,150000,150000,28.57%,비고
4년제,공학사,전자공학,100%온라인 수업,210000,150000,150000,28.57%,비고
4년제,공학사,전파공학,오프라인 수업(온라인 전환가능),280000,150000,150000,,비고
4년제,공학사,정보보호학,100%온라인 수업,210000,150000,150000,28.57%,비고
4년제,공학사,정보통신공학,100%온라인 수업,210000,150000,150000,28.57%,비고
4년제,공학사,제어계측공학,오프라인 수업(온라인 전환가능),280000,150000,150000,,비고
4년제,공학사,조선공학,오프라인 수업(온라인 전환불가),280000,150000,150000,,비고
4년제,공학사,컴퓨터공학,100%온라인 수업,210000,150000,150000,28.57%,비고
4년제,공학사,토목공학,오프라인 수업(온라인 전환가능),280000,150000,150000,,비고
4년제,공학사,항공정비공학,오프라인 수업(온라인 전환불가),280000,150000,150000,,비고
4년제,공학사,화학공학,오프라인 수업(온라인 전환가능),280000,150000,150000,,비고
4년제,공학사,환경공학,오프라인 수업(온라인 전환불가),280000,150000,150000,,비고
4년제,관광학사,관광경영학,오프라인 수업(온라인 전환가능),150000,150000,150000,,비고
4년제,관광학사,외식경영학,오프라인 수업(온라인 전환불가),150000,150000,150000,,비고
4년제,관광학사,호텔경영학,오프라인 수업(온라인 전환가능),150000,150000,150000,,비고
4년제,광고학사,광고학,학습 컨설팅 필수,150000,150000,150000,40%,비고
4년제,군사학사,군사행정학,학점은행제 불가(과목부족),450000,150000,150000,,비고
4년제,군사학사,군수관리학,학점은행제 불가(과목부족),450000,150000,150000,,비고
4년제,군사학사,지상전학,학점은행제 불가(과목부족),450000,150000,150000,,비고
4년제,무용학사,무용학,학점은행제 불가(과목부족),500000,150000,150000,,비고
